Symbol,Time,ESG,Governance,Environment,Social,Close
AAPL,1504216800,67.19,57.48,83.73,55.2,41.01250076293945
AAPL,1506808800,67.4,52.68,85.86,56.8
AAPL,1509490800,67.4,52.68,85.86,56.8,41.72249984741211
AAPL,1512082800,67.4,52.68,85.86,56.8,42.76250076293945
AAPL,1514761200,68.54,52.68,88.7,56.8
AAPL,1517439600,68.54,52.68,88.7,56.8,41.94499969482422
AAPL,1519858800,68.54,52.68,88.7,56.8,43.75
AAPL,1522533600,68.54,52.68,88.7,56.8
AAPL,1525125600,68.54,52.68,88.7,56.8,42.275001525878906
AAPL,1527804000,68.54,52.68,88.7,56.8,47.560001373291016
AAPL,1530396000,68.54,52.68,88.7,56.8
AAPL,1533074400,69.33,54.68,89.42,56.8,50.375
AAPL,1535752800,69.33,54.68,89.42,56.8
AAPL,1538344800,69.33,54.68,89.42,56.8,56.814998626708984
AAPL,1541026800,70.63,59.88,89.42,56.8,55.55500030517578
AAPL,1543618800,70.63,59.88,89.42,56.8
AAPL,1546297200,70.63,59.88,89.42,56.8
AAPL,1548975600,70.63,59.88,89.42,56.8,41.630001068115234
AAPL,1551394800,70.34,59.88,88.71,56.8,43.74250030517578
AAPL,1554069600,70.34,59.88,88.71,56.8,47.810001373291016
AAPL,1556661600,70.34,59.88,88.71,56.8,52.630001068115234
AAPL,1559340000,70.4,59.88,88.86,56.8
AAPL,1561932000,70.4,59.88,88.86,56.8,50.38750076293945
AAPL,1564610400,70.28,59.38,88.86,56.8,52.10749816894531
AAPL,1567288800,72.27,61.38,89.81,59.98
AAPL,1569880800,72.27,61.38,89.81,59.98,56.147499084472656
AAPL,1572562800,72.27,61.38,89.81,59.98,63.95500183105469
AAPL,1575154800,23.6,10.42,0.55,12.63
AAPL,1577833200,23.82,10.26,0.55,13.0
AAPL,1580511600,23.82,10.26,0.55,13.0
AAPL,1583017200,23.82,10.26,0.55,13.0
AAPL,1585692000,,,,,60.227500915527344
AAPL,1588284000,,,,,72.26750183105469
AAPL,1590962400,,,,,80.4625015258789
AAPL,1593554400,23.62,10.15,0.49,12.98,91.02749633789062
AAPL,1596232800,23.62,10.15,0.49,12.98
AAPL,1598911200,,,,,134.17999267578125
AAPL,1601503200,23.65,10.18,0.49,12.98,116.79000091552734
AAPL,1604185200,,,,
AAPL,1606777200,,,,,122.72000122070312
AAPL,1609455600,16.46,8.82,0.1,7.55
AAPL,1612134000,16.58,8.94,0.1,7.55,134.13999938964844
AAPL,1614553200,16.73,8.94,0.1,7.69,127.79000091552734
AAPL,1617228000,,,,,123.0
AAPL,1619820000,16.92,8.94,0.29,7.69
AAPL,1622498400,,,,,124.27999877929688
AAPL,1625090400,,,,,137.27000427246094
AAPL,1627768800,,,,
AAPL,1630447200,16.92,8.64,0.29,7.99,152.50999450683594
AAPL,1633039200,,,,,142.64999389648438
AAPL,1635721200,,,,,148.9600067138672
AAPL,1638313200,,,,,164.77000427246094
AAPL,1640991600,,,,
AAPL,1643670000,16.27,8.76,0.65,6.86,174.61000061035156
AAPL,1646089200,,,,,163.1999969482422
AAPL,1648764000,,,,,174.30999755859375
AAPL,1651356000,16.41,8.9,0.65,6.86
AAPL,1654034400,,,,,148.7100067138672
AAPL,1656626400,,,,,138.92999267578125
AAPL,1659304800,16.68,9.18,0.65,6.86
AMZN,1504216800,47.32,48.98,45.77,47.64,48.912498474121094
AMZN,1506808800,47.28,45.08,46.34,49.47
AMZN,1509490800,47.28,45.08,46.34,49.47,55.183998107910156
AMZN,1512082800,47.28,45.08,46.34,49.47,58.11750030517578
AMZN,1514761200,47.28,45.08,46.34,49.47
AMZN,1517439600,47.28,45.08,46.34,49.47,69.5
AMZN,1519858800,47.28,45.08,46.34,49.47,74.67250061035156
AMZN,1522533600,47.28,45.08,46.34,49.47
AMZN,1525125600,47.28,45.08,46.34,49.47,79.11299896240234
AMZN,1527804000,47.28,45.08,46.34,49.47,82.0770034790039
AMZN,1530396000,47.28,45.08,46.34,49.47
AMZN,1533074400,45.21,45.08,44.71,45.72,89.8584976196289
AMZN,1535752800,45.21,45.08,44.71,45.72
AMZN,1538344800,44.82,46.48,40.71,47.38,100.21800231933594
AMZN,1541026800,45.02,47.28,40.71,47.38,83.27649688720703
AMZN,1543618800,45.02,47.28,40.71,47.38
AMZN,1546297200,45.02,47.28,40.71,47.38
AMZN,1548975600,45.02,47.28,40.71,47.38,81.3115005493164
AMZN,1551394800,45.17,46.28,41.86,47.38,83.58650207519531
AMZN,1554069600,45.17,46.28,41.86,47.38,90.70950317382812
AMZN,1556661600,45.17,46.28,41.86,47.38,95.57599639892578
AMZN,1559340000,44.87,45.08,41.86,47.38
AMZN,1561932000,44.83,45.08,41.74,47.38,96.1094970703125
AMZN,1564610400,44.83,45.08,41.74,47.38,92.76599884033203
AMZN,1567288800,44.83,45.08,41.74,47.38
AMZN,1569880800,44.83,45.08,41.74,47.38,86.78250122070312
AMZN,1572562800,49.57,45.85,47.6,53.62,89.5719985961914
AMZN,1575154800,30.57,11.01,5.82,13.74
AMZN,1577833200,30.57,11.01,5.82,13.74
AMZN,1580511600,30.57,11.01,5.82,13.74
AMZN,1583017200,30.57,11.01,5.82,13.74
AMZN,1585692000,,,,,95.38500213623047
AMZN,1588284000,,,,,114.302001953125
AMZN,1590962400,,,,,123.552001953125
AMZN,1593554400,30.57,11.01,5.82,13.74,143.93499755859375
AMZN,1596232800,30.33,11.01,6.02,13.3
AMZN,1598911200,,,,,174.95599365234375
AMZN,1601503200,27.42,9.78,5.13,12.52,161.06300354003906
AMZN,1604185200,,,,
AMZN,1606777200,,,,,161.00399780273438
AMZN,1609455600,27.42,9.78,5.13,12.52
AMZN,1612134000,27.42,9.78,5.13,12.52,167.1439971923828
